Local time,Open,High,Low,Close,Volume
01.07.2020 03:03:00.000 GMT-0300,9091,9091,9091,9091,0.0679
01.07.2020 03:04:00.000 GMT-0300,9090,9090,9079,9080,0.0197
01.07.2020 03:05:00.000 GMT-0300,9080,9082,9079,9081,0.4288
01.07.2020 03:06:00.000 GMT-0300,9081,9084,9079,9079,0.4298
01.07.2020 03:07:00.000 GMT-0300,9079,9079,9078,9079,0.0545
01.07.2020 03:08:00.000 GMT-0300,9079,9079,9077,9077,0.0015
01.07.2020 03:09:00.000 GMT-0300,9077,9077,9075,9077,0.0023
01.07.2020 03:10:00.000 GMT-0300,9077,9077,9075,9075,0.0012
01.07.2020 03:11:00.000 GMT-0300,9075,9076,9074,9076,0.0836
01.07.2020 03:12:00.000 GMT-0300,9076,9076,9074,9074,0.1502
01.07.2020 03:13:00.000 GMT-0300,9074,9075,9071,9072,0.0542
01.07.2020 03:14:00.000 GMT-0300,9072,9075,9072,9075,0.2715
01.07.2020 03:15:00.000 GMT-0300,9075,9075,9074,9074,0.0006
01.07.2020 03:16:00.000 GMT-0300,9075,9078,9074,9077,0.2932
01.07.2020 03:17:00.000 GMT-0300,9077,9080,9076,9080,0.51
01.07.2020 03:18:00.000 GMT-0300,9080,9080,9078,9080,0.585
01.07.2020 03:19:00.000 GMT-0300,9080,9084,9080,9083,0.3232
01.07.2020 03:20:00.000 GMT-0300,9083,9084,9083,9084,0.4651
01.07.2020 03:21:00.000 GMT-0300,9084,9084,9083,9083,0.3453
01.07.2020 03:22:00.000 GMT-0300,9082,9082,9077,9077,0.0016
01.07.2020 03:23:00.000 GMT-0300,9077,9079,9077,9079,0.1953
01.07.2020 03:24:00.000 GMT-0300,9079,9079,9078,9078,0.0002
01.07.2020 03:25:00.000 GMT-0300,9078,9078,9077,9078,0.0303
01.07.2020 03:26:00.000 GMT-0300,9078,9080,9077,9077,0.1653
01.07.2020 03:27:00.000 GMT-0300,9078,9084,9077,9082,0.9527
01.07.2020 03:28:00.000 GMT-0300,9082,9083,9081,9082,0.1275
01.07.2020 03:29:00.000 GMT-0300,9082,9082,9082,9082,0.075
01.07.2020 03:30:00.000 GMT-0300,9082,9082,9081,9081,0.105
01.07.2020 03:31:00.000 GMT-0300,9081,9083,9081,9082,0.25
01.07.2020 03:32:00.000 GMT-0300,9082,9082,9081,9081,0.0977
01.07.2020 03:33:00.000 GMT-0300,9083,9083,9079,9079,0.1552
01.07.2020 03:34:00.000 GMT-0300,9079,9088,9079,9087,0.3089
01.07.2020 03:35:00.000 GMT-0300,9087,9087,9086,9086,0.2044
01.07.2020 03:36:00.000 GMT-0300,9086,9086,9086,9086,0.1585
01.07.2020 03:37:00.000 GMT-0300,9086,9086,9085,9086,0.2231
01.07.2020 03:38:00.000 GMT-0300,9086,9086,9084,9084,0.128
01.07.2020 03:39:00.000 GMT-0300,9086,9086,9083,9083,0.1356
01.07.2020 03:40:00.000 GMT-0300,9083,9084,9082,9083,0.0154
01.07.2020 03:41:00.000 GMT-0300,9083,9085,9083,9085,0.0004
01.07.2020 03:42:00.000 GMT-0300,9086,9088,9085,9086,0.1053
01.07.2020 03:43:00.000 GMT-0300,9086,9089,9086,9087,0.42
01.07.2020 03:44:00.000 GMT-0300,9087,9089,9087,9087,0.1201
01.07.2020 03:45:00.000 GMT-0300,9087,9087,9087,9087,0.1426
01.07.2020 03:46:00.000 GMT-0300,9087,9088,9086,9086,0.3
01.07.2020 03:47:00.000 GMT-0300,9087,9087,9086,9086,0.0675
01.07.2020 03:48:00.000 GMT-0300,9086,9087,9086,9086,0.075
01.07.2020 03:49:00.000 GMT-0300,9086,9087,9086,9087,0.0825
01.07.2020 03:50:00.000 GMT-0300,9087,9087,9086,9087,0.0525
01.07.2020 03:51:00.000 GMT-0300,9087,9087,9087,9087,0.1575
01.07.2020 03:52:00.000 GMT-0300,9086,9087,9086,9087,0.285
01.07.2020 03:53:00.000 GMT-0300,9087,9087,9086,9086,0.2575
