,y+1
882,2.3080000000000003
883,2.272
884,2.354
885,0.616
886,0.282
887,1.78
888,2.3480000000000003
889,2.3680000000000003
890,2.362
891,2.378
892,2.43
893,2.512
894,0.616
895,0.39799999999999996
896,1.528
897,2.484
898,2.4619999999999997
899,2.502
900,2.484
901,2.4859999999999998
902,2.04
903,0.402
904,0.38
905,1.876
906,2.36
907,2.364
908,2.336
909,2.352
910,2.34
911,2.36
912,0.914
913,0.29
914,1.058
915,2.374
916,2.388
917,2.358
918,2.294
919,2.278
920,2.28
921,0.268
922,0.222
923,1.6219999999999999
924,2.296
925,2.278
926,2.296
927,2.26
928,2.94
929,2.792
930,1.158
931,0.932
932,2.5140000000000002
933,2.984
934,2.9960000000000004
935,2.94
936,3.278
937,5.9079999999999995
938,7.064
939,6.926
940,6.58
941,6.05
942,6.104
943,4.762
944,4.506
945,4.4719999999999995
946,3.708
947,0.7240000000000001
948,1.892
949,2.012
950,2.372
951,2.386
952,2.4
953,2.424
954,1.0659999999999998
955,0.38
956,1.632
957,2.41
958,2.38
959,2.4019999999999997
960,2.438
961,2.432
962,1.64
963,0.424
964,1.41
965,2.722
966,2.7119999999999997
967,2.7060000000000004
968,2.488
969,2.424
970,1.258
971,0.37
972,0.7859999999999999
973,2.474
974,2.474
975,2.488
976,2.4859999999999998
977,2.444
978,2.272
979,0.33799999999999997
980,0.29
981,1.466
982,2.324
983,2.32
984,2.3080000000000003
985,2.314
986,2.312
987,2.306
988,0.444
989,0.268
990,1.8459999999999999
991,2.3080000000000003
992,2.29
993,2.2880000000000003
994,2.296
995,2.292
996,0.37
997,0.47200000000000003
998,3.054
999,3.48
1000,3.572
1001,3.56
1002,3.528
1003,3.49
1004,2.0380000000000003
1005,1.406
1006,2.84
1007,3.388
1008,3.3939999999999997
1009,3.36
1010,1.354
1011,1.334
1012,1.358
1013,1.37
1014,1.3219999999999998
1015,1.304
1016,1.3940000000000001
1017,1.702
1018,2.242
1019,3.714
1020,3.2119999999999997
1021,3.694
1022,3.2039999999999997
1023,3.676
1024,3.6660000000000004
1025,3.678
1026,3.722
1027,3.716
1028,3.75
1029,4.17
1030,5.776
1031,5.718
1032,5.7379999999999995
1033,5.7139999999999995
1034,5.732
1035,5.73
1036,5.848
1037,5.8420000000000005
1038,5.88
1039,5.872000000000001
1040,5.07
1041,5.4879999999999995
1042,5.898
1043,5.026
1044,3.2460000000000004
1045,2.7119999999999997
1046,3.5380000000000003
1047,3.574
1048,3.016
1049,3.002
1050,4.444
1051,5.568
1052,4.84
1053,5.066
1054,5.57
1055,3.65
1056,2.394
1057,3.0239999999999996
1058,3.25
1059,3.378
1060,2.2640000000000002
1061,3.108
1062,2.978
1063,1.966
1064,1.9280000000000002
1065,2.526
1066,1.51
1067,1.5719999999999998
1068,1.6019999999999999
1069,1.5619999999999998
1070,1.55
1071,1.5859999999999999
1072,1.6580000000000001
1073,1.6580000000000001
1074,1.65
1075,1.676
1076,2.492
1077,3.8280000000000003
1078,3.822
1079,3.8339999999999996
1080,3.81
1081,3.824
1082,3.838
1083,3.844
1084,3.824
1085,3.844
1086,3.88
1087,4.004
1088,3.784
1089,3.784
1090,3.792
1091,2.146
1092,1.608
1093,1.828
1094,1.922
1095,1.9780000000000002
1096,1.93
1097,1.964
1098,1.854
1099,1.7619999999999998
1100,1.7380000000000002
1101,1.766
1102,1.746
1103,1.734
1104,1.7380000000000002
1105,1.9580000000000002
1106,1.964
1107,1.962
1108,2.05
1109,2.032
1110,2.036
1111,1.964
1112,1.97
1113,1.946
1114,1.97
1115,1.962
1116,1.9880000000000002
1117,1.972
1118,1.974
1119,1.954
1120,1.9580000000000002
1121,2.01
1122,1.946
1123,1.9280000000000002
1124,1.9080000000000001
1125,1.7080000000000002
1126,1.564
1127,1.54
1128,1.56
1129,1.584
1130,1.734
1131,1.7719999999999998
1132,1.874
1133,1.74
1134,1.6219999999999999
1135,1.854
1136,1.854
1137,1.906
1138,1.946
1139,3.36
1140,3.5180000000000002
1141,2.438
1142,1.9240000000000002
1143,1.954
1144,2.0180000000000002
1145,2.0140000000000002
1146,1.992
1147,1.996
1148,2.002
1149,1.964
1150,1.93
1151,1.83
1152,1.706
1153,2.93
1154,3.182
1155,1.7180000000000002
1156,1.716
1157,1.71
1158,1.712
1159,1.702
1160,1.732
1161,1.722
1162,1.712
1163,1.716
1164,1.714
1165,1.71
1166,1.722
1167,1.72
1168,1.714
1169,1.736
1170,1.726
1171,1.712
1172,1.72
1173,1.7180000000000002
1174,1.704
1175,1.754
1176,1.798
1177,1.742
1178,1.74
1179,1.742
1180,1.75
1181,1.736
1182,1.712
1183,1.5659999999999998
1184,1.4880000000000002
1185,1.494
1186,1.504
1187,1.4980000000000002
1188,1.44
1189,1.44
1190,1.4340000000000002
1191,1.446
1192,1.442
1193,1.4340000000000002
1194,1.456
1195,1.462
1196,1.4780000000000002
1197,1.47
1198,1.456
1199,1.45
1200,1.4480000000000002
1201,1.442
1202,1.446
1203,1.446
1204,1.44
1205,1.44
1206,1.436
1207,1.44
1208,1.436
1209,1.4340000000000002
1210,1.6480000000000001
1211,1.734
1212,1.8159999999999998
1213,1.808
1214,1.8219999999999998
1215,1.8219999999999998
1216,1.8259999999999998
1217,1.824
1218,1.82
1219,1.81
1220,1.81
1221,1.806
1222,1.814
1223,1.8119999999999998
1224,1.784
1225,1.758
1226,1.768
1227,1.764
1228,1.764
1229,2.1519999999999997
1230,3.092
1231,1.79
1232,1.76
1233,1.7519999999999998
1234,1.75
1235,1.744
1236,1.77
1237,1.794
1238,1.774
1239,1.7819999999999998
1240,1.788
1241,2.4
1242,1.8
1243,1.9380000000000002
1244,2.3040000000000003
1245,2.066
1246,1.9380000000000002
1247,1.8019999999999998
1248,1.954
1249,2.0580000000000003
1250,2.102
1251,2.1180000000000003
1252,2.12
1253,2.106
1254,2.124
1255,2.134
1256,2.134
1257,2.12
1258,2.122
1259,2.1180000000000003
1260,2.106
1261,2.136
1262,2.51
1263,2.68
1264,2.372
1265,2.154
1266,2.146
1267,2.14
1268,2.142
1269,2.228
1270,2.19
1271,2.122
1272,2.1180000000000003
1273,2.12
1274,2.1180000000000003
1275,2.11
1276,2.11
1277,2.11
1278,2.108
1279,2.104
1280,1.8559999999999999
1281,1.858
1282,1.87
1283,2.046
1284,2.1519999999999997
1285,2.17
1286,2.162
1287,2.16
1288,2.154
1289,2.238
1290,2.24
1291,2.248
1292,2.188
1293,2.1519999999999997
1294,2.13
1295,2.11
1296,2.112
1297,2.12
1298,2.108
1299,2.106
1300,2.076
1301,1.996
1302,2.004
1303,2.01
1304,2.002
1305,1.9340000000000002
1306,1.954
1307,2.06
1308,2.022
1309,2.128
1310,2.18
1311,2.178
1312,2.1719999999999997
1313,2.18
1314,2.1
1315,2.142
1316,2.144
1317,2.07
1318,2.042
1319,3.0060000000000002
1320,3.156
1321,3.1180000000000003
1322,3.1239999999999997
1323,4.502
1324,5.57
1325,3.054
1326,2.886
1327,2.9019999999999997
1328,2.892
1329,2.888
1330,2.88
1331,2.858
1332,3.3819999999999997
1333,4.944
1334,4.928
1335,4.908
1336,4.918
1337,4.956
1338,4.944
1339,4.968
1340,4.89
1341,4.9
1342,2.812
1343,4.794
1344,2.92
1345,2.852
1346,2.8139999999999996
1347,2.7439999999999998
1348,2.76
1349,2.758
1350,2.824
1351,2.8480000000000003
1352,2.844
1353,2.81
1354,2.82
1355,2.818
1356,2.842
1357,2.8339999999999996
1358,2.83
1359,2.824
1360,2.8139999999999996
1361,2.7939999999999996
1362,2.7939999999999996
1363,2.78
